Year,Gtm,Month,Home,Opp,Win,pitchIP,pitchH,pitchR,pitchER,pitchUER,pitchBB,pitchSO,pitchHR,pitchHBP,pitchERA,pitchBF,pitchPit,pitchStr,pitchIR,pitchIS,pitchSB,pitchCS,pitchAB,pitch1B,pitch2B,pitch3B,pitchIBB,pitchSH,pitchSF,pitchROE,pitchGDP,numPitchers,PA,AB,R,H,1B,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,Thr,OppStarter,OppGameScore,RD
2022,21,Apr,0,TEX,1,9,6,3,3,0,2,7,2,0,4.16,35,145,92,2,0,0,0,33,3,1,0,0,0,0,0,0,5,42,35,6,9,3,2,0,4,5,7,0,13,0,0,0,0,0,1,0,0.235,0.311,0.42,0.732,9,R,G.Richards(42),42,3
2022,22,Apr,0,TEX,0,8,4,3,3,0,4,6,1,0,4.13,30,102,67,1,0,1,1,26,3,0,0,0,0,0,0,0,2,31,31,1,4,2,2,0,0,1,0,0,8,0,0,0,0,0,0,0,0.23,0.304,0.411,0.715,3,R,D.Dunning(74),74,-2
2022,23,May,0,TEX,0,8,11,7,7,0,6,9,0,0,4.28,41,157,96,3,3,3,0,34,10,0,1,0,1,0,0,1,5,37,31,3,6,5,1,0,0,3,4,0,9,1,0,1,0,2,0,0,0.229,0.304,0.403,0.707,7,L,T.Hearn(54),54,-4
2022,24,May,0,NYM,1,9,5,2,2,0,2,10,1,1,4.18,36,149,101,3,0,0,0,33,3,1,0,0,0,0,1,0,5,37,33,5,8,5,2,0,1,5,2,0,11,1,0,1,0,0,0,0,0.229,0.304,0.403,0.706,5,R,C.Bassitt(60),60,3
2022,25,May,0,NYM,0,8,8,5,4,1,3,5,0,1,4.19,35,126,83,2,0,1,1,30,8,0,0,0,0,1,0,0,2,37,32,4,5,3,1,0,1,4,4,0,12,0,0,1,0,0,0,0,0.226,0.301,0.398,0.699,6,L,D.Peterson(48),48,-1
2022,26,May,0,NYM,0,8,9,3,3,0,1,4,1,0,4.16,32,108,74,0,0,0,0,31,7,1,0,0,0,0,0,2,2,34,32,0,7,4,3,0,0,0,2,0,5,0,0,0,0,2,0,0,0.226,0.3,0.395,0.695,7,R,C.Carrasco(73),73,-3
2022,27,May,0,NYM,1,9,8,2,2,0,5,6,1,0,4.08,38,146,94,1,0,0,0,33,5,2,0,0,0,0,0,2,4,41,37,9,9,7,1,0,1,8,4,0,15,0,0,0,1,0,0,0,0.227,0.301,0.393,0.694,5,R,T.Megill(55),55,7
2022,28,May,1,MIL,0,9,11,6,5,1,4,11,0,0,4.11,43,176,117,5,4,0,0,39,8,3,0,0,0,0,0,0,6,32,28,3,3,1,0,0,2,3,3,0,11,0,0,1,1,1,0,0,0.223,0.297,0.391,0.688,2,L,E.Lauer(68),68,-3
2022,29,May,1,MIL,1,9,7,2,2,0,1,11,1,0,4.04,33,131,89,0,0,0,2,32,4,2,0,0,0,0,0,0,3,35,32,3,8,6,1,0,1,3,3,0,8,0,0,0,1,0,2,1,0.224,0.298,0.39,0.688,8,R,C.Burnes(60),60,1
2022,30,May,1,MIL,1,9,4,2,2,0,4,7,0,1,3.97,34,142,89,0,0,0,0,29,4,0,0,0,0,0,0,2,5,39,33,9,10,6,2,0,2,8,5,0,9,1,0,0,0,1,3,0,0.227,0.302,0.395,0.697,6,L,A.Ashby(23),23,7
2022,31,May,1,BOS,0,9,11,9,9,0,7,10,1,0,4.14,45,183,114,2,0,0,0,38,9,1,0,0,0,0,0,0,6,38,32,4,6,4,1,0,1,4,5,0,10,0,0,1,0,0,2,0,0.226,0.301,0.393,0.694,7,R,G.Whitlock(40),40,-5
2022,32,May,1,BOS,1,9,7,3,3,0,4,11,1,0,4.1,37,163,100,2,0,0,1,33,3,3,0,0,0,0,0,0,5,35,33,5,8,4,2,0,2,5,1,0,8,1,0,0,0,0,1,0,0.226,0.301,0.396,0.697,5,R,N.Eovaldi(54),54,2
2022,33,May,1,SDP,0,9,16,11,11,0,3,9,2,0,4.31,47,164,106,2,2,0,0,42,10,4,0,1,0,2,1,0,4,42,38,6,12,9,1,0,2,6,4,0,9,0,0,0,0,0,0,0,0.229,0.304,0.399,0.703,9,R,Y.Darvish(34),34,-5
2022,34,May,1,SDP,1,9,4,5,1,4,2,12,0,0,4.21,35,134,93,3,3,0,0,33,2,2,0,0,0,0,1,0,4,34,31,6,9,5,2,0,2,6,2,0,13,1,0,0,0,2,1,0,0.231,0.305,0.403,0.708,4,L,S.Manaea(63),63,1
2022,35,May,1,SDP,0,11,7,7,1,6,3,12,0,0,4.09,44,157,104,2,1,1,2,40,4,3,0,1,0,1,1,0,5,42,38,3,5,4,0,0,1,2,4,0,16,0,0,0,0,0,1,0,0.228,0.302,0.397,0.699,8,R,J.Musgrove(57),57,-4
2022,36,May,0,MIL,0,8,5,1,1,0,2,6,0,0,4.02,31,129,80,0,0,0,0,29,4,1,0,0,0,0,1,1,2,30,29,0,2,2,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0.224,0.298,0.389,0.686,3,R,F.Peralta(82),82,-1
2022,37,May,0,MIL,1,9,5,0,0,0,6,8,0,0,3.91,37,136,78,3,0,1,0,31,5,0,0,0,0,0,0,1,5,38,33,3,6,4,1,0,1,2,5,0,8,0,0,0,0,1,1,0,0.223,0.297,0.387,0.684,8,R,A.Houser(66),66,3
2022,38,May,0,MIL,0,10,10,7,5,2,5,11,1,0,3.93,44,172,112,2,0,2,0,38,6,2,1,1,0,1,0,0,6,45,42,6,10,7,1,0,2,5,1,0,12,2,0,0,0,1,0,0,0.223,0.297,0.387,0.684,8,R,C.Burnes(47),47,-1
2022,39,May,0,MIA,1,9,10,3,3,0,1,9,1,2,3.9,39,149,105,2,0,0,0,36,5,4,0,0,0,0,0,1,5,41,36,5,9,3,3,0,3,5,5,0,10,0,0,0,0,0,1,0,0.224,0.298,0.393,0.691,9,L,T.Rogers(29),29,2
2022,40,May,0,MIA,1,9,8,3,2,1,5,12,0,0,3.85,39,167,99,1,0,0,0,34,5,2,1,0,0,0,0,0,5,38,34,4,9,6,1,0,2,4,4,1,7,0,0,0,0,0,2,1,0.225,0.299,0.395,0.694,7,R,E.Hernandez(61),61,1
